Number,Title,Author,State,CreatedAt,ClosedAt,Area,Type,Reactions,URL,Comments,Priority,Milestone
"21301","[Bug]: New database option is missing from context menu at Instance level","croblesm","OPEN","2026-02-20T22:56:50Z",,"Object Explorer","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21301","0","-1","February 2026 Release"
"21300","[Bug]: Server level create database","aasimkhan30","OPEN","2026-02-20T22:45:36Z",,"","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21300","0","-1","February 2026 Release"
"21295","[Bug]: Browse Azure not loading resource groups, locations, or servers","amthomas46","OPEN","2026-02-20T21:26:56Z",,"","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21295","0","-1",
"21280","[Bug]: Revert to old schema designer toolbar.","aasimkhan30","CLOSED","2026-02-19T22:40:46Z","2026-02-20T17:54:29Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21280","0","-1","February 2026 Release"
"21279","[Feature Request]: Rename Profiler to Query Profiler","allancascante","CLOSED","2026-02-19T22:36:02Z","2026-02-20T17:54:42Z","","Feature Request","1","https://github.com/microsoft/vscode-mssql/issues/21279","0","-1","February 2026 Release"
"21277","Changelog updates for 1.40.0","Benjin","OPEN","2026-02-19T22:00:24Z",,"",,"0","https://github.com/microsoft/vscode-mssql/issues/21277","0","-1","February 2026 Release"
"21276","[Bug]: Resizing the text panel up/down causes the grid size to get locked","kburtram","CLOSED","2026-02-19T21:58:32Z","2026-02-20T18:38:10Z","Profiler","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21276","0","-1","March 2026 Release"
"21275","[Bug]: Changelog page doesn't scroll all the way down at different zoom levels","Benjin","OPEN","2026-02-19T21:54:02Z",,"","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21275","0","-1","February 2026 Release"
"21274","[Bug]: Query Profiler grid doesn't properly support multi-cell select","kburtram","CLOSED","2026-02-19T21:45:50Z","2026-02-20T20:19:02Z","Profiler","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21274","0","-1","March 2026 Release"
"21269","[Bug]: Backup Database default backup name should include backup type","laurenastrid1","OPEN","2026-02-19T18:37:10Z",,"Backup/Restore","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21269","0","-1","March 2026 Release"
"21264","[Bug]: Query results open in tab is broken.","aasimkhan30","CLOSED","2026-02-19T16:59:17Z","2026-02-19T18:52:17Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21264","0","-1","February 2026 Release"
"21263","[Bug]: 'Save as CSV' has no line brakes","philipp-barnau","OPEN","2026-02-19T16:51:46Z",,"","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21263","0","-1",
"21262","Inconsistent behavior in working","Ndu3000","OPEN","2026-02-19T12:00:59Z",,"Query Editor","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21262","1","-1","March 2026 Release"
"21260","[Bug]: Global Search object list should sort by default","kburtram","OPEN","2026-02-19T03:18:44Z",,"","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21260","0","-1",
"21258","[Bug]: Backup dialog fails to load on Azure SQL","kburtram","OPEN","2026-02-19T02:39:05Z",,"Backup/Restore","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21258","0","-1","March 2026 Release"
"21254","[Task] Minor context menu organization for Feb features","Benjin","CLOSED","2026-02-19T00:05:26Z","2026-02-19T19:56:50Z","","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21254","0","-1","February 2026 Release"
"21252","[Bug]: Connecting to Fabric SQL instance in browser gives token error","kburtram","OPEN","2026-02-18T22:53:56Z",,"Connection","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21252","0","-1","March 2026 Release"
"21246","[Bug]: Flat File Import Database field should default correctly","laurenastrid1","OPEN","2026-02-18T20:55:50Z",,"Flat File Import","Bug","0","https://github.com/microsoft/vscode-mssql/issues/21246","0","-1","March 2026 Release"
